space_makespan, sum_of_space_costs, time_makespan, sum_of_time_costs, space_time_makespan, sum_of_space_time_costs, compute_time 
31.385808670383376, 84.84982409413136, 7, 20, 19.192904335191688, 52.42491204706568, 20.44830322265625
33.49664594758213, 104.92620250058528, 7, 24, 20.248322973791062, 64.46310125029262, 18.938618421554565
31.95314168322942, 124.53323775175893, 7, 28, 19.476570841614713, 76.26661887587947, 87.22514200210571
41.506907681941556, 130.3869132531385, 9, 32, 25.253453840970778, 81.19345662656926, 18.554325819015503
23.445485091944867, 86.08170918915854, 5, 20, 14.222742545972434, 53.04085459457927, 40.09125804901123
33.414151023359175, 86.97220562415924, 9, 22, 21.207075511679587, 54.48610281207962, 26.35381817817688
29.540497805802794, 113.9125666249271, 7, 25, 18.259163583610505, 69.45628331246354, 19.057779550552368
30.441426260486008, 108.43708982700443, 7, 26, 18.720713130243006, 67.21854491350221, 35.58050894737244
32.26926279126133, 80.07867221542207, 7, 19, 19.634631395630667, 49.53933610771104, 19.3293776512146
29.18988574113373, 96.87413514158413, 7, 24, 18.094942870566864, 60.43706757079207, 31.25324845314026
