space_makespan, sum_of_space_costs, time_makespan, sum_of_time_costs, space_time_makespan, sum_of_space_time_costs 
29.060031330840463, 84.53630921161422, 6, 19, 17.53001566542023, 51.76815460580711 
26.269782892217656, 77.40726216073843, 6, 20, 16.134891446108828, 48.70363108036921 
29.07741579446117, 98.0770047940386, 6, 22, 17.538707897230587, 60.0385023970193 
24.122590868893678, 84.32719600362327, 5, 19, 14.561295434446839, 51.663598001811636 
25.048234088799866, 73.28723040970584, 6, 18, 15.524117044399933, 45.64361520485292 
27.230535208984552, 89.47953984411416, 6, 22, 16.615267604492278, 55.73976992205708 
38.715388536513345, 94.9147899861041, 9, 23, 23.85769426825667, 58.95739499305205 
24.005627696913923, 72.74061071056722, 5, 20, 14.502813848456961, 46.37030535528361 
26.744603935620173, 116.81585952325256, 6, 25, 16.37230196781009, 70.90792976162628 
13.725514266620122, 56.007797439983754, 3, 14, 8.362757133310062, 35.00389871999188 
